brand,conversation_count
AmazonHelp,169809
AppleSupport,106820
Uber_Support,56270
SpotifyCares,43265
Delta,42253
Tesco,38573
AmericanAir,36764
TMobileHelp,34317
comcastcares,33031
British_Airways,29361
